?	?	?	????(MW)	????(MW)	????(MW)	?????(MW)	?????(%)	????????	
2018	07	20	"117,205"	"97,502"	"88,080"	"9,422"	11	2018/07/20(17:00)	
2018	06	25	"117,111"	"87,256"	"76,606"	"10,650"	14	2018/06/25(17:00)	
2018	05	17	"117,589"	"82,000"	"73,173"	"8,827"	12	2018/05/17(15:00)	
2018	04	05	"116,747"	"84,634"	"70,520"	"14,114"	20	2018/04/05(11:00)	
2018	03	08	"116,747"	"90,761"	"78,855"	"11,906"	15	2018/03/08(11:00)	
2018	02	06	"116,428"	"101,148"	"88,238"	"12,910"	15	2018/02/06(10:00)	
2018	01	25	"116,428"	"99,147"	"87,247"	"11,900"	14	2018/01/25(17:00)	
2017	12	12	"116,657"	"96,095"	"85,133"	"10,962"	13	2017/12/12(10:00)	
2017	11	24	"116,278"	"92,807"	"77,605"	"15,202"	20	2017/11/24(10:00)	
2017	10	10	"115,249"	"88,736"	"70,113"	"18,623"	27	2017/10/10(17:00)	
2017	09	19	"114,206"	"92,665"	"73,115"	"19,550"	27	2017/09/19(16:00)	
2017	08	07	"113,351"	"95,125"	"84,489"	"10,636"	13	2017/08/07(15:00)	
2017	07	21	"113,351"	"94,987"	"84,586"	"10,401"	12	2017/07/21(17:00)	
2017	06	30	"113,705"	"87,888"	"75,413"	"12,475"	17	2017/06/30(15:00)	
2017	05	30	"111,292"	"82,497"	"69,887"	"12,610"	18	2017/05/30(15:00)	
2017	04	06	"110,502"	"87,916"	"69,129"	"18,787"	27	2017/04/06(11:00)	
2017	03	07	"107,098"	"93,840"	"76,756"	"17,084"	22	2017/03/07(10:00)	
2017	02	10	"107,098"	"95,916"	"81,268"	"14,648"	18	2017/02/10(11:00)	
2017	01	23	"106,238"	"95,443"	"83,657"	"11,786"	14	2017/01/23(11:00)	
2016	12	16	"104,466"	"93,031"	"79,966"	"13,065"	16	2016/12/16(10:00)	
2016	11	30	"103,299"	"85,024"	"74,959"	"10,065"	13	2016/11/30(11:00)	
2016	10	31	"103,068"	"78,563"	"68,282"	"10,281"	15	2016/10/31(18:00)	
2016	09	05	"101,025"	"85,109"	"75,299"	"9,810"	13	2016/09/05(17:00)	
2016	08	12	"100,180"	"92,395"	"85,183"	"7,212"	9	2016/08/12(17:00)	
2016	07	26	"100,180"	"88,923"	"81,110"	"7,813"	10	2016/07/26(15:00)	
2016	06	23	"98,948"	"80,956"	"72,816"	"8,140"	11	2016/06/23(15:00)	
2016	05	31	"98,948"	"80,087"	"68,011"	"12,076"	18	2016/05/31(15:00)	
2016	04	07	"98,796"	"86,048"	"65,765"	"20,283"	31	2016/04/07(10:00)	
2016	03	02	"98,796"	"85,097"	"75,697"	"9,400"	12	2016/03/02(10:00)	
2016	02	02	"98,190"	"93,809"	"80,020"	"13,789"	17	2016/02/02(10:00)	
2016	01	21	"98,190"	"94,793"	"82,972"	"11,821"	14	2016/01/21(11:00)	
2015	12	18	"97,649"	"89,191"	"77,282"	"11,909"	15	2015/12/18(10:00)	
2015	11	27	"97,649"	"87,180"	"73,965"	"13,215"	18	2015/11/27(11:00)	
2015	10	01	"96,828"	"80,604"	"65,322"	"15,282"	23	2015/10/01(17:00)	
2015	09	01	"96,828"	"85,102"	"72,991"	"12,111"	17	2015/09/01(15:00)	
2015	08	07	"96,828"	"89,595"	"76,916"	"12,679"	17	2015/08/07(15:00)	
